shipment_id,order_id,carrier,ship_mode,origin_country,destination_country,dispatch_date,estimated_arrival,actual_arrival,freight_cost,weight_kg,delivery_status,delay_days
SHIP00048,ORD00859,DB Schenker,Sea,China,Bangladesh,2023-07-26,2023-09-03,2023-09-03,155.67,6.89,Delivered,0.0
SHIP00049,ORD00720,Maersk,Air,India,Thailand,2023-05-31,2023-06-05,2023-06-05,1456.44,212.32,Delivered,0.0
SHIP00050,ORD01929,Nippon Express,Air,China,Indonesia,2022-01-19,2022-01-25,2022-02-12,12943.21,2108.27,Delayed,18.0
SHIP00051,ORD04429,Nippon Express,Sea,Vietnam,France,2023-08-17,2023-09-13,2023-09-13,278.75,153.06,Delivered,0.0
SHIP00052,ORD00147,Blue Dart,Air,Vietnam,Canada,2022-08-12,2022-08-19,2022-08-25,27753.87,4202.71,Delivered,6.0
SHIP00053,ORD03447,Blue Dart,Sea,China,Germany,2022-07-25,2022-09-06,,1387.72,1604.25,In Transit,
SHIP00054,ORD00958,Nippon Express,Sea,India,Germany,2024-01-19,2024-03-01,2024-03-01,155.32,6.4,Delivered,0.0
SHIP00055,ORD02876,DHL,Air,Vietnam,UAE,2023-12-20,2023-12-27,2023-12-27,5189.34,848.32,Delivered,0.0
SHIP00056,ORD02858,DB Schenker,Air,India,South Korea,2024-01-29,2024-02-05,2024-02-05,2190.62,336.76,Delivered,0.0
SHIP00057,ORD04994,Blue Dart,Air,Malaysia,Thailand,2023-11-22,2023-11-27,,222.22,26.56,In Transit,
SHIP00058,ORD02098,Blue Dart,Sea,China,Italy,2023-07-17,2023-08-29,2023-08-29,165.34,19.73,Delivered,0.0
SHIP00059,ORD03056,DHL,Air,India,South Korea,2022-03-26,2022-04-01,,84.9,3.79,In Transit,
SHIP00060,ORD00067,Maersk,Air,Vietnam,UK,2024-10-21,2024-10-28,2024-10-28,2379.59,359.83,Delivered,0.0
SHIP00061,ORD01025,FedEx,Air,China,Saudi Arabia,2022-08-16,2022-08-20,2022-08-20,12433.96,1877.04,Delivered,0.0
SHIP00062,ORD02181,FedEx,Air,Vietnam,France,2023-08-30,2023-09-04,2023-09-18,585.17,84.11,Delivered,14.0
SHIP00063,ORD03425,Nippon Express,Sea,India,UAE,2022-03-23,2022-04-23,2022-04-25,365.08,292.87,Delayed,2.0
SHIP00064,ORD01623,DB Schenker,Air,Vietnam,Canada,2022-08-19,2022-08-23,2022-08-23,8793.75,1455.89,Delivered,0.0
SHIP00065,ORD02706,Maersk,Sea,China,Germany,2022-07-27,2022-08-18,2022-08-18,4218.84,5229.23,Delivered,0.0
SHIP00066,ORD00068,DHL,Sea,Vietnam,UK,2024-12-01,2025-01-09,2025-01-09,7269.76,9045.04,Delivered,0.0
SHIP00067,ORD00873,Maersk,Rail,Vietnam,Singapore,2022-04-27,2022-05-07,2022-05-07,1736.79,1057.8,Delivered,0.0
SHIP00068,ORD04193,Maersk,Sea,China,Thailand,2022-12-07,2023-01-07,2023-01-07,7179.28,9168.32,Delivered,0.0
SHIP00069,ORD00474,Maersk,Sea,China,Germany,2024-12-15,2025-01-20,2025-02-14,634.62,581.34,Delayed,25.0
SHIP00070,ORD02838,DB Schenker,Sea,Vietnam,USA,2024-07-22,2024-08-13,2024-08-13,188.78,47.44,Delivered,0.0
SHIP00071,ORD02846,Maersk,Sea,Vietnam,Saudi Arabia,2023-06-19,2023-08-02,2023-08-02,1324.84,1534.69,Delivered,0.0
SHIP00072,ORD02817,FedEx,Sea,Malaysia,Singapore,2023-04-14,2023-04-29,2023-04-29,2936.74,3180.77,Delivered,0.0
SHIP00073,ORD02118,Nippon Express,Sea,China,Thailand,2023-04-28,2023-05-26,2023-05-26,7886.47,10142.68,Delivered,0.0
SHIP00074,ORD00593,Blue Dart,Sea,Malaysia,India,2024-09-05,2024-09-24,2024-09-25,653.84,626.05,Delayed,1.0
SHIP00075,ORD02783,Blue Dart,Road,India,India,2024-10-19,2024-10-24,2024-10-24,2963.71,1244.06,Delivered,0.0
SHIP00076,ORD01331,Maersk,Sea,Malaysia,USA,2022-03-10,2022-04-09,,218.68,91.0,In Transit,
SHIP00077,ORD04932,DHL,Road,China,Singapore,2024-12-30,2025-01-02,,2844.82,1395.53,In Transit,
SHIP00078,ORD00586,FedEx,Sea,China,France,2023-12-26,2024-02-01,2024-02-09,202.09,65.25,Delivered,8.0
SHIP00079,ORD03261,Maersk,Sea,India,UK,2024-01-05,2024-02-10,2024-02-12,924.74,946.12,Delivered,2.0
SHIP00080,ORD02357,DB Schenker,Sea,China,Italy,2024-01-10,2024-02-05,2024-02-09,232.86,111.96,Delivered,4.0
SHIP00081,ORD02407,Maersk,Sea,China,Canada,2024-06-02,2024-07-06,2024-07-06,957.56,1095.5,Delivered,0.0
SHIP00082,ORD04310,Nippon Express,Sea,India,Indonesia,2024-09-18,2024-10-30,2024-10-30,225.71,103.28,Delivered,0.0
SHIP00083,ORD03583,Blue Dart,Sea,India,India,2022-01-08,2022-02-21,2022-03-05,206.84,68.88,Delivered,12.0
SHIP00084,ORD00854,FedEx,Air,Vietnam,Italy,2023-01-12,2023-01-19,,993.61,132.16,Lost,
SHIP00085,ORD00135,Nippon Express,Air,India,Singapore,2022-06-06,2022-06-10,2022-06-21,3556.96,495.88,Delivered,11.0
SHIP00086,ORD02087,Nippon Express,Sea,Vietnam,Thailand,2023-11-28,2023-12-17,2023-12-17,1247.78,1292.48,Delivered,0.0
SHIP00087,ORD04901,DB Schenker,Sea,Malaysia,Canada,2022-03-30,2022-04-26,2022-04-26,1111.77,1233.24,Delivered,0.0
SHIP00088,ORD02111,Blue Dart,Air,Vietnam,Canada,2024-05-28,2024-05-31,2024-05-31,13040.95,1968.98,Delivered,0.0
SHIP00089,ORD00723,Maersk,Air,Malaysia,UK,2024-06-14,2024-06-19,2024-06-21,650.93,82.65,Delivered,2.0
SHIP00090,ORD03146,Nippon Express,Air,Vietnam,Indonesia,2023-06-22,2023-06-28,2023-06-28,2661.5,375.22,Delivered,0.0
SHIP00091,ORD00384,FedEx,Air,Vietnam,Australia,2023-08-15,2023-08-20,2023-09-09,9054.35,1508.45,Delayed,20.0
SHIP00092,ORD00613,Maersk,Sea,China,Canada,2024-12-22,2025-01-15,2025-01-15,4071.86,5444.42,Delivered,0.0
SHIP00093,ORD04798,Nippon Express,Air,China,Indonesia,2023-02-03,2023-02-08,2023-02-08,931.45,137.24,Delivered,0.0
SHIP00094,ORD04722,Blue Dart,Sea,Malaysia,Mexico,2023-10-15,2023-11-01,2023-11-01,466.74,437.3,Delivered,0.0
SHIP00095,ORD04009,DHL,Air,Malaysia,Canada,2024-04-11,2024-04-15,2024-04-15,155.55,13.97,Delivered,0.0
SHIP00096,ORD01817,Blue Dart,Sea,Vietnam,UAE,2024-07-14,2024-07-30,,305.45,190.18,In Transit,
SHIP00097,ORD00156,Blue Dart,Air,China,Indonesia,2024-07-13,2024-07-19,2024-08-04,4483.73,659.18,Delayed,16.0
SHIP00098,ORD02289,DHL,Air,India,Singapore,2022-11-08,2022-11-14,2022-11-29,688.38,89.12,Delayed,15.0
SHIP00099,ORD04588,DHL,Sea,Malaysia,USA,2024-02-06,2024-02-28,2024-02-28,1144.83,1133.53,Delivered,0.0
SHIP00100,ORD04818,Nippon Express,Sea,China,USA,2024-06-09,2024-07-08,,166.83,21.81,In Transit,
SHIP00101,ORD04848,DB Schenker,Sea,Vietnam,Italy,2022-08-02,2022-09-11,2022-09-11,554.51,544.92,Delivered,0.0
SHIP00102,ORD01016,Nippon Express,Air,Malaysia,France,2024-05-05,2024-05-09,2024-05-09,20921.86,3545.32,Delivered,0.0
SHIP00103,ORD04387,FedEx,Sea,Malaysia,Japan,2023-10-11,2023-11-02,2023-11-25,1771.16,1886.47,Delayed,23.0
SHIP00104,ORD03306,Blue Dart,Road,China,Singapore,2023-01-30,2023-02-07,,1913.8,889.24,In Transit,
SHIP00105,ORD02004,Blue Dart,Air,India,France,2023-01-02,2023-01-09,2023-01-10,517.48,77.62,Delayed,1.0
SHIP00106,ORD00167,DHL,Sea,India,Australia,2023-02-15,2023-03-21,2023-04-15,447.75,365.1,Delayed,25.0
SHIP00107,ORD04065,Blue Dart,Sea,China,Singapore,2022-04-21,2022-05-27,2022-06-01,896.41,951.86,Delivered,5.0
SHIP00108,ORD01339,Nippon Express,Sea,India,Indonesia,2023-08-03,2023-09-08,2023-09-08,285.22,157.36,Delivered,0.0
SHIP00109,ORD00120,DHL,Air,India,UK,2024-06-06,2024-06-12,2024-06-12,9341.23,1551.38,Delivered,0.0
SHIP00110,ORD03054,FedEx,Sea,Vietnam,Germany,2022-04-05,2022-05-18,,5527.76,6596.48,In Transit,
SHIP00111,ORD04909,DB Schenker,Sea,China,Italy,2023-02-03,2023-03-10,2023-03-10,614.61,548.95,Delivered,0.0
SHIP00112,ORD02067,DB Schenker,Air,China,Thailand,2022-10-10,2022-10-16,2022-10-16,25637.96,3666.66,Delivered,0.0
SHIP00113,ORD00688,DB Schenker,Sea,China,Germany,2023-08-10,2023-09-22,2023-10-02,1237.18,1486.33,Delivered,10.0
SHIP00114,ORD01091,DHL,Sea,Malaysia,UAE,2023-06-28,2023-07-24,2023-07-24,1824.34,1980.91,Delivered,0.0
SHIP00115,ORD03742,Nippon Express,Sea,China,USA,2022-06-12,2022-07-26,2022-07-26,246.57,113.97,Delivered,0.0
SHIP00116,ORD00116,Maersk,Sea,China,Australia,2023-01-06,2023-02-20,2023-03-01,6606.51,8474.29,Delivered,9.0
SHIP00117,ORD00705,FedEx,Sea,India,UK,2022-03-22,2022-04-30,2022-04-30,933.49,1019.95,Delivered,0.0
SHIP00118,ORD00325,DHL,Rail,Vietnam,Singapore,2022-08-21,2022-09-02,2022-09-02,121.97,25.81,Delivered,0.0
SHIP00119,ORD00006,FedEx,Air,India,Indonesia,2023-01-07,2023-01-13,2023-01-31,850.44,118.58,Delayed,18.0
SHIP00120,ORD01070,DHL,Air,Vietnam,Australia,2024-04-17,2024-04-24,2024-04-24,7936.05,1337.28,Delivered,0.0
SHIP00121,ORD04808,DB Schenker,Sea,Vietnam,Mexico,2022-07-03,2022-07-19,,229.55,93.49,In Transit,
SHIP00122,ORD00189,FedEx,Sea,Vietnam,USA,2023-01-11,2023-02-21,,185.23,40.25,In Transit,
SHIP00123,ORD01055,Maersk,Sea,India,South Korea,2023-07-30,2023-08-19,2023-09-14,441.06,370.44,Delayed,26.0
SHIP00124,ORD04047,DB Schenker,Road,Vietnam,India,2024-05-06,2024-05-11,2024-05-11,495.9,197.28,Delivered,0.0
SHIP00125,ORD01946,DB Schenker,Sea,Malaysia,South Korea,2023-05-01,2023-05-26,2023-05-26,1122.82,1163.97,Delivered,0.0
SHIP00126,ORD01466,Maersk,Sea,China,Thailand,2022-12-22,2023-01-08,2023-02-03,520.67,472.62,Delayed,26.0
SHIP00127,ORD00289,Maersk,Sea,Malaysia,Australia,2022-01-17,2022-02-10,2022-02-10,154.88,6.16,Delivered,0.0
SHIP00128,ORD03056,DB Schenker,Air,India,South Korea,2022-03-26,2022-03-31,2022-04-08,85.23,3.79,Delivered,8.0
SHIP00129,ORD03380,Maersk,Air,Malaysia,UAE,2023-11-25,2023-11-28,2023-12-11,10391.65,1700.31,Delayed,13.0
SHIP00130,ORD02919,Blue Dart,Air,China,Australia,2024-07-30,2024-08-06,2024-08-06,38750.98,5944.59,Delivered,0.0
SHIP00131,ORD03360,DB Schenker,Sea,India,Japan,2024-12-10,2025-01-09,2025-01-09,151.45,1.87,Delivered,0.0
SHIP00132,ORD03461,Nippon Express,Air,Vietnam,Mexico,2024-12-08,2024-12-14,,990.57,156.15,In Transit,
SHIP00133,ORD04502,DHL,Sea,Malaysia,Netherlands,2024-11-21,2024-12-07,,188.54,51.25,In Transit,
SHIP00134,ORD01913,Blue Dart,Air,Vietnam,Canada,2024-04-26,2024-05-01,2024-05-01,8118.74,1239.43,Delivered,0.0
SHIP00135,ORD02037,Nippon Express,Sea,India,USA,2022-09-14,2022-10-25,2022-10-25,503.45,408.51,Delivered,0.0
SHIP00136,ORD00645,DHL,Sea,India,Saudi Arabia,2022-05-20,2022-06-30,2022-07-16,461.24,362.88,Delayed,16.0
SHIP00137,ORD04166,DHL,Sea,China,Australia,2024-12-16,2025-01-21,2025-01-21,3545.45,3917.09,Delivered,0.0
SHIP00138,ORD04927,Nippon Express,Air,China,Bangladesh,2023-08-04,2023-08-11,,2790.49,442.7,In Transit,
SHIP00139,ORD01774,DHL,Air,Malaysia,Saudi Arabia,2024-08-02,2024-08-06,2024-08-20,259.99,28.88,Delivered,14.0
SHIP00140,ORD01832,DHL,Air,India,Thailand,2023-09-25,2023-09-28,,18024.17,2853.03,In Transit,
SHIP00141,ORD03174,Blue Dart,Road,Vietnam,India,2022-03-27,2022-04-05,2022-04-05,1240.31,499.42,Delivered,0.0
SHIP00142,ORD03817,Blue Dart,Sea,China,USA,2024-07-28,2024-08-23,2024-08-23,5684.66,7266.27,Delivered,0.0
SHIP00143,ORD04527,DB Schenker,Air,India,Singapore,2024-03-18,2024-03-21,,54741.51,8705.46,Lost,
SHIP00144,ORD01820,DHL,Road,China,Singapore,2024-08-22,2024-09-01,2024-09-01,654.54,309.74,Delivered,0.0
SHIP00145,ORD00056,Maersk,Sea,Vietnam,UAE,2023-11-04,2023-12-13,,3960.6,4392.12,Lost,
SHIP00146,ORD01844,DHL,Air,India,Singapore,2022-06-05,2022-06-10,2022-07-07,937.33,131.97,Delayed,27.0
SHIP00147,ORD00062,FedEx,Sea,Malaysia,Saudi Arabia,2022-01-16,2022-02-25,,1183.24,1341.96,In Transit,
SHIP00148,ORD03815,DB Schenker,Air,Malaysia,UK,2022-10-07,2022-10-12,2022-10-12,901.52,139.39,Delivered,0.0
SHIP00149,ORD04204,DB Schenker,Sea,China,Italy,2022-03-10,2022-04-24,2022-04-24,2104.17,2373.54,Delivered,0.0
SHIP00150,ORD04266,DHL,Sea,Malaysia,UK,2022-06-27,2022-07-26,2022-07-26,779.56,856.14,Delivered,0.0
SHIP00151,ORD00175,FedEx,Sea,China,UAE,2022-06-16,2022-07-12,,1435.37,1729.44,In Transit,
SHIP00152,ORD01142,Blue Dart,Sea,Vietnam,Bangladesh,2022-07-20,2022-08-25,,199.21,61.44,In Transit,
SHIP00153,ORD03431,FedEx,Air,China,Canada,2024-02-23,2024-02-27,2024-03-09,9685.18,1598.39,Delivered,11.0
SHIP00154,ORD04235,DB Schenker,Sea,Vietnam,Germany,2024-10-15,2024-11-13,2024-11-27,1242.04,1486.72,Delivered,14.0
SHIP00155,ORD02755,Nippon Express,Sea,Vietnam,Japan,2023-08-09,2023-09-09,2023-09-09,1541.32,1674.24,Delivered,0.0
SHIP00156,ORD04868,FedEx,Sea,China,Australia,2024-10-23,2024-11-17,,309.76,201.26,In Transit,
SHIP00157,ORD00479,DHL,Sea,China,Australia,2024-02-19,2024-03-21,2024-03-24,867.79,986.05,Delayed,3.0
SHIP00158,ORD03614,Blue Dart,Air,Vietnam,UK,2022-10-17,2022-10-23,,11326.4,1905.55,In Transit,
SHIP00159,ORD00591,Maersk,Sea,India,Germany,2022-04-28,2022-06-03,2022-06-03,2951.53,3206.61,Delivered,0.0
SHIP00160,ORD02639,Nippon Express,Sea,Vietnam,Thailand,2022-05-27,2022-07-01,2022-07-02,827.14,929.28,Delivered,1.0
SHIP00161,ORD02746,DHL,Sea,Vietnam,Mexico,2022-07-09,2022-08-04,2022-08-04,162.84,16.23,Delivered,0.0
SHIP00162,ORD04768,DHL,Sea,Malaysia,USA,2022-08-13,2022-09-18,2022-09-18,1309.27,1481.9,Delivered,0.0
SHIP00163,ORD02133,Blue Dart,Sea,China,USA,2024-08-31,2024-09-24,2024-10-03,921.22,963.46,Delivered,9.0
SHIP00164,ORD04326,Nippon Express,Sea,Vietnam,South Korea,2023-11-09,2023-12-14,2023-12-14,152.02,2.35,Delivered,0.0
SHIP00165,ORD01931,Blue Dart,Sea,China,India,2022-09-10,2022-09-30,2022-09-30,588.92,529.99,Delivered,0.0
SHIP00166,ORD02912,Maersk,Air,China,Saudi Arabia,2022-01-11,2022-01-14,2022-01-14,1931.63,272.76,Delivered,0.0
SHIP00167,ORD01179,Nippon Express,Air,Vietnam,Mexico,2024-08-09,2024-08-16,2024-08-16,3896.53,598.78,Delivered,0.0
SHIP00168,ORD04376,DB Schenker,Sea,Malaysia,Mexico,2023-05-19,2023-06-09,2023-06-19,1587.03,1773.25,Delayed,10.0
SHIP00169,ORD01829,DHL,Sea,Malaysia,Germany,2022-04-29,2022-05-27,,990.54,1149.98,Lost,
SHIP00170,ORD00800,DB Schenker,Air,Vietnam,Saudi Arabia,2022-12-13,2022-12-18,2022-12-19,50187.94,8433.7,Delivered,1.0
SHIP00171,ORD02613,DB Schenker,Air,India,UAE,2023-09-17,2023-09-20,2023-10-15,7098.38,1008.3,Delayed,25.0
SHIP00172,ORD01153,DB Schenker,Sea,Malaysia,South Korea,2022-01-23,2022-02-12,2022-02-12,940.07,986.2,Delivered,0.0
SHIP00173,ORD02157,Maersk,Air,China,Australia,2024-03-07,2024-03-14,2024-03-14,8373.41,1387.5,Delivered,0.0
SHIP00174,ORD02744,Blue Dart,Air,Malaysia,Saudi Arabia,2023-02-24,2023-03-02,2023-03-02,5780.84,961.91,Delivered,0.0
SHIP00175,ORD00518,DHL,Air,India,Australia,2024-11-16,2024-11-23,2024-11-25,5741.48,806.41,Delayed,2.0
SHIP00176,ORD00971,DB Schenker,Sea,China,UK,2022-06-03,2022-06-27,2022-07-04,433.9,379.9,Delivered,7.0
SHIP00177,ORD03774,DB Schenker,Air,India,South Korea,2023-04-18,2023-04-21,2023-04-21,11247.89,1745.08,Delivered,0.0
SHIP00178,ORD01622,DB Schenker,Air,China,UK,2025-01-07,2025-01-14,,66.8,0.99,In Transit,
SHIP00179,ORD00525,FedEx,Sea,Malaysia,Mexico,2022-05-14,2022-06-14,2022-06-14,2949.5,3259.97,Delivered,0.0
SHIP00180,ORD03838,DHL,Sea,China,Mexico,2023-03-26,2023-04-13,2023-04-22,1773.03,1891.0,Delivered,9.0
SHIP00181,ORD04428,DB Schenker,Sea,India,Singapore,2023-05-24,2023-06-17,2023-06-17,1172.49,1187.08,Delivered,0.0
SHIP00182,ORD01641,Maersk,Sea,Malaysia,Netherlands,2024-02-22,2024-03-08,,171.63,29.07,In Transit,
SHIP00183,ORD04740,FedEx,Sea,Vietnam,Indonesia,2023-09-23,2023-10-17,2023-10-17,192.72,54.18,Delivered,0.0
SHIP00184,ORD01062,FedEx,Sea,Malaysia,UAE,2024-05-13,2024-06-16,2024-07-14,1468.78,1597.35,Delayed,28.0
SHIP00185,ORD02993,Blue Dart,Air,Malaysia,Germany,2023-03-13,2023-03-16,2023-03-21,817.28,107.85,Delayed,5.0
SHIP00186,ORD00415,Nippon Express,Sea,India,Germany,2024-09-23,2024-11-04,2024-11-04,303.6,194.79,Delivered,0.0
SHIP00187,ORD03057,Maersk,Air,India,France,2023-10-19,2023-10-25,2023-10-25,155.0,14.27,Delivered,0.0
SHIP00188,ORD03498,Nippon Express,Sea,Vietnam,Canada,2024-05-30,2024-07-13,2024-07-19,2037.11,2160.22,Delivered,6.0
SHIP00189,ORD00434,FedEx,Air,Malaysia,Germany,2022-01-15,2022-01-19,2022-01-19,73.99,1.97,Delivered,0.0
SHIP00190,ORD03351,Nippon Express,Sea,Malaysia,UK,2023-02-17,2023-03-31,,4780.63,5601.75,In Transit,
SHIP00191,ORD00227,Blue Dart,Rail,India,India,2023-10-30,2023-11-09,2023-11-23,493.57,275.54,Delivered,14.0
SHIP00192,ORD01852,Nippon Express,Air,China,Germany,2022-06-17,2022-06-24,2022-06-24,2164.08,319.08,Delivered,0.0
SHIP00193,ORD01440,Nippon Express,Sea,Vietnam,Italy,2022-11-24,2022-12-25,2022-12-25,168.53,21.44,Delivered,0.0
SHIP00194,ORD00056,DB Schenker,Sea,Vietnam,UAE,2023-11-04,2023-11-24,2023-11-24,3799.49,4392.12,Delivered,0.0
SHIP00195,ORD01623,FedEx,Sea,Vietnam,Canada,2022-08-19,2022-09-10,2022-09-10,1254.42,1455.89,Delivered,0.0
SHIP00196,ORD00290,Nippon Express,Sea,India,Bangladesh,2023-09-18,2023-10-16,2023-10-28,150.18,0.24,Delivered,12.0
SHIP00197,ORD03367,Blue Dart,Air,Vietnam,Mexico,2023-10-08,2023-10-14,2023-10-14,19144.83,3145.53,Delivered,0.0
SHIP00198,ORD04093,Maersk,Sea,Vietnam,UK,2024-07-25,2024-09-08,2024-10-03,548.67,488.88,Delayed,25.0
SHIP00199,ORD00834,DB Schenker,Sea,China,Singapore,2023-01-28,2023-03-02,2023-03-02,155.32,6.48,Delivered,0.0
SHIP00200,ORD04606,FedEx,Sea,India,Canada,2022-02-28,2022-04-10,2022-04-10,6648.58,8869.28,Delivered,0.0
SHIP00201,ORD02708,FedEx,Road,India,Singapore,2024-04-10,2024-04-17,2024-04-18,1177.41,492.69,Delivered,1.0
SHIP00202,ORD00270,DHL,Sea,Vietnam,UK,2022-07-23,2022-09-03,2022-09-13,2951.87,3466.68,Delivered,10.0
SHIP00203,ORD01190,FedEx,Sea,China,India,2022-12-16,2023-01-04,2023-01-13,206.15,73.12,Delivered,9.0
SHIP00204,ORD03877,Nippon Express,Air,China,USA,2022-02-15,2022-02-20,,366.72,43.24,In Transit,
