order_id,customer_id,product_id,factory_id,order_date,ship_date,quantity,unit_price,discount_pct,revenue,region,sales_channel,priority
ORD00030,CUST417,PROD053,FACT10,2022-06-28,2022-07-05,405,532.56,24.7,162412.16,Europe,Distributor,Medium
ORD00031,CUST472,PROD087,FACT12,2024-01-08,2024-01-21,398,536.5,14.8,181925.0,Asia Pacific,Distributor,High
ORD00032,CUST394,PROD058,FACT01,2023-03-29,2023-04-06,259,530.65,16.0,115448.21,Europe,Government Tender,Medium
ORD00033,CUST186,PROD085,FACT03,2023-08-06,2023-08-09,159,502.19,24.8,60045.85,Europe,Online B2B,High
ORD00034,CUST281,PROD046,FACT12,2023-05-07,2023-05-21,217,1386.2,13.0,261700.7,Europe,Government Tender,Medium
ORD00035,CUST489,PROD103,FACT07,2024-08-14,2024-08-27,303,203.82,1.2,61016.37,South Asia,Distributor,Medium
ORD00036,CUST074,PROD094,FACT01,2022-04-13,2022-04-18,428,220.73,24.2,71610.11,North America,Direct,Medium
ORD00037,CUST295,PROD067,FACT05,2022-02-10,2022-02-13,17,262.25,10.6,3985.68,Middle East,Direct,High
ORD00038,CUST016,PROD079,FACT06,2023-03-11,2023-03-16,474,276.82,2.7,127669.94,North America,Online B2B,Medium
ORD00039,CUST188,PROD120,FACT03,2024-08-03,2024-08-07,81,617.38,18.8,40606.32,South Asia,Distributor,Low
ORD00040,CUST412,PROD025,FACT06,2023-12-03,2023-12-06,184,249.74,11.2,40805.52,Asia Pacific,Distributor,Medium
ORD00041,CUST460,PROD097,FACT04,2023-03-13,2023-03-16,467,384.8,12.4,157418.6,South Asia,Government Tender,High
ORD00042,CUST172,PROD040,FACT06,2023-12-09,2023-12-13,283,593.42,24.3,127128.96,Asia Pacific,Direct,Medium
ORD00043,CUST186,PROD107,FACT06,2024-11-20,2024-12-01,71,174.54,24.9,9306.65,Europe,Distributor,Low
ORD00044,CUST032,PROD097,FACT04,2022-01-30,2022-02-12,90,403.56,22.0,28329.91,South Asia,Online B2B,Medium
ORD00045,CUST063,PROD099,FACT01,2024-09-12,2024-09-17,197,446.91,7.7,81262.09,North America,Online B2B,High
ORD00046,CUST499,PROD023,FACT03,2023-11-15,2023-11-23,130,299.28,13.5,33654.04,Asia Pacific,Distributor,Medium
ORD00047,CUST349,PROD083,FACT11,2023-01-25,2023-01-30,80,412.76,1.7,32459.45,Middle East,Distributor,High
ORD00048,CUST301,PROD118,FACT10,2022-10-03,2022-10-15,446,205.91,24.1,69703.42,South Asia,Direct,High
ORD00049,CUST309,PROD062,FACT07,2022-01-12,2022-01-20,365,219.45,5.3,75853.99,North America,Distributor,Medium
ORD00050,CUST189,PROD064,FACT02,2022-02-18,2022-02-23,203,703.88,12.9,124455.13,Europe,Distributor,High
ORD00051,CUST306,PROD015,FACT04,2022-01-10,2022-01-14,231,89.79,10.0,18667.34,Asia Pacific,Online B2B,Medium
ORD00052,CUST411,PROD120,FACT06,2022-09-18,2022-09-27,87,660.63,24.4,43450.96,Europe,Direct,Medium
ORD00053,CUST026,PROD024,FACT05,2022-11-16,2022-11-20,227,743.15,13.0,146764.69,Europe,Online B2B,Medium
ORD00054,CUST387,PROD009,FACT06,2022-07-05,2022-07-17,6,288.0,23.3,1325.38,South Asia,Online B2B,Medium
ORD00055,CUST346,PROD026,FACT05,2022-08-17,2022-08-26,357,338.48,9.5,109357.81,North America,Distributor,Medium
ORD00056,CUST039,PROD072,FACT09,2023-11-01,2023-11-04,449,303.8,12.5,119355.43,Middle East,Distributor,Medium
ORD00057,CUST193,PROD007,FACT11,2024-02-24,2024-03-09,225,205.06,11.4,40878.71,Europe,Distributor,Medium
ORD00058,CUST163,PROD055,FACT12,2024-04-14,2024-04-18,146,539.46,2.4,76870.89,Asia Pacific,Online B2B,High
ORD00059,CUST053,PROD073,FACT02,2022-01-21,2022-01-26,55,501.89,19.7,22165.97,Asia Pacific,Government Tender,Medium
ORD00060,CUST475,PROD062,FACT04,2022-01-16,2022-01-20,67,208.12,2.2,13637.27,North America,Distributor,Low
ORD00061,CUST174,PROD028,FACT01,2023-04-25,2023-05-02,185,161.08,13.0,25925.83,Middle East,Government Tender,Medium
ORD00062,CUST196,PROD012,FACT12,2022-01-06,2022-01-16,147,223.21,11.0,29202.56,Middle East,Distributor,Medium
ORD00063,CUST211,PROD013,FACT07,2022-10-25,2022-11-05,74,495.26,14.8,31225.15,Asia Pacific,Online B2B,High
ORD00064,CUST278,PROD045,FACT01,2024-06-30,2024-07-09,468,523.11,6.0,230126.55,South Asia,Direct,Low
ORD00065,CUST188,PROD117,FACT06,2024-07-29,2024-08-03,139,321.56,12.6,39065.04,South Asia,Online B2B,Low
ORD00066,CUST390,PROD013,FACT10,2022-09-16,2022-09-19,224,459.62,24.0,78245.71,Europe,Online B2B,Low
ORD00067,CUST308,PROD107,FACT10,2024-10-10,2024-10-21,232,173.51,0.7,39972.54,Europe,Online B2B,High
ORD00068,CUST457,PROD005,FACT09,2024-11-29,2024-12-01,468,345.03,17.1,133861.98,Europe,Online B2B,Low
ORD00069,CUST331,PROD002,FACT02,2022-10-03,2022-10-15,183,451.68,11.6,73069.18,Middle East,Direct,High
ORD00070,CUST214,PROD088,FACT01,2024-01-14,2024-01-19,96,444.59,14.8,36363.91,Europe,Distributor,Medium
ORD00071,CUST495,PROD043,FACT12,2023-06-03,2023-06-09,491,155.92,17.9,62853.07,North America,Direct,Medium
ORD00072,CUST329,PROD093,FACT11,2024-04-06,2024-04-09,421,506.35,10.5,190790.15,Middle East,Direct,Low
ORD00073,CUST029,PROD025,FACT11,2023-08-28,2023-09-11,342,235.17,24.3,60884.1,South Asia,Direct,Low
ORD00074,CUST171,PROD050,FACT11,2024-08-06,2024-08-20,248,527.54,11.5,115784.48,Asia Pacific,Direct,Low
ORD00075,CUST122,PROD085,FACT10,2023-04-25,2023-04-29,132,504.25,12.4,58307.44,North America,Distributor,Low
ORD00076,CUST458,PROD088,FACT03,2023-02-18,2023-03-04,13,445.07,7.6,5346.18,Europe,Distributor,Medium
ORD00077,CUST418,PROD047,FACT06,2024-09-25,2024-09-30,70,149.47,6.3,9803.74,South Asia,Direct,Low
ORD00078,CUST159,PROD118,FACT07,2024-12-09,2024-12-13,349,213.46,6.2,69878.69,Asia Pacific,Distributor,High
ORD00079,CUST086,PROD047,FACT11,2024-02-16,2024-02-25,442,150.73,14.5,56962.37,Europe,Direct,Medium
ORD00080,CUST302,PROD032,FACT08,2022-02-14,2022-02-28,256,210.54,18.4,43980.96,Europe,Direct,High
ORD00081,CUST004,PROD018,FACT04,2024-04-09,2024-04-21,386,489.16,13.2,163892.08,Europe,Online B2B,Low
ORD00082,CUST002,PROD078,FACT08,2022-10-02,2022-10-15,188,173.66,12.4,28599.72,Middle East,Distributor,Low
ORD00083,CUST133,PROD114,FACT07,2024-11-24,2024-11-27,89,416.34,13.2,32163.1,Asia Pacific,Distributor,High
ORD00084,CUST302,PROD071,FACT11,2023-10-15,2023-10-25,416,1096.2,20.1,364359.34,Europe,Direct,Medium
ORD00085,CUST079,PROD005,FACT08,2022-05-24,2022-06-05,319,335.6,10.8,95494.31,Asia Pacific,Distributor,Medium
ORD00086,CUST147,PROD114,FACT05,2024-04-14,2024-04-21,316,399.06,10.1,113366.56,South Asia,Direct,Medium
ORD00087,CUST166,PROD018,FACT10,2024-01-27,2024-01-29,154,492.46,4.7,72274.41,Asia Pacific,Direct,Medium
ORD00088,CUST315,PROD046,FACT07,2022-07-12,2022-07-21,474,1398.61,15.4,560848.2,North America,Distributor,High
ORD00089,CUST463,PROD008,FACT04,2023-07-01,2023-07-12,486,559.59,6.1,255371.13,Asia Pacific,Online B2B,High
ORD00090,CUST238,PROD047,FACT01,2024-02-23,2024-03-01,150,137.26,5.2,19518.37,Asia Pacific,Direct,Medium
ORD00091,CUST328,PROD066,FACT03,2022-06-27,2022-07-02,330,1065.64,12.6,307351.89,Asia Pacific,Direct,High
ORD00092,CUST276,PROD030,FACT12,2024-02-21,2024-02-28,471,87.44,14.2,35336.08,Europe,Direct,Medium
ORD00093,CUST204,PROD114,FACT10,2022-11-14,2022-11-17,132,410.34,18.2,44306.87,Asia Pacific,Distributor,Medium
ORD00094,CUST452,PROD025,FACT09,2022-05-31,2022-06-02,144,241.5,8.7,31750.49,South Asia,Direct,Low
ORD00095,CUST053,PROD087,FACT11,2023-09-03,2023-09-16,247,531.21,11.1,116644.69,Asia Pacific,Direct,Medium
ORD00096,CUST486,PROD047,FACT04,2023-06-25,2023-07-02,63,145.58,20.7,7273.03,Asia Pacific,Government Tender,Medium
ORD00097,CUST107,PROD108,FACT05,2022-05-30,2022-06-08,170,218.84,18.8,30208.67,Europe,Direct,High
ORD00098,CUST055,PROD014,FACT03,2022-09-19,2022-10-03,417,354.49,0.8,146639.75,Asia Pacific,Distributor,Medium
ORD00099,CUST246,PROD109,FACT12,2023-02-17,2023-02-23,397,169.34,13.0,58488.34,Asia Pacific,Government Tender,Low
ORD00100,CUST423,PROD101,FACT11,2023-05-07,2023-05-16,302,340.7,3.0,99804.66,Asia Pacific,Direct,Medium
ORD00101,CUST377,PROD075,FACT06,2024-09-27,2024-10-01,236,657.1,2.6,151043.63,Asia Pacific,Distributor,Medium
ORD00102,CUST164,PROD067,FACT04,2022-02-06,2022-02-20,397,268.19,9.9,95930.76,North America,Distributor,Low
ORD00103,CUST442,PROD056,FACT05,2023-04-26,2023-05-03,289,266.54,23.9,58619.88,Asia Pacific,Government Tender,High
ORD00104,CUST015,PROD032,FACT11,2022-06-29,2022-07-01,123,200.61,11.4,21862.08,Asia Pacific,Government Tender,Medium
ORD00105,CUST001,PROD021,FACT07,2023-08-05,2023-08-19,270,213.71,7.2,53547.18,Europe,Distributor,High
ORD00106,CUST351,PROD098,FACT12,2024-09-05,2024-09-09,8,284.68,6.1,2138.52,Europe,Direct,Medium
ORD00107,CUST137,PROD100,FACT07,2022-12-20,2022-12-25,218,632.68,5.8,129924.63,Europe,Distributor,High
ORD00108,CUST151,PROD111,FACT09,2024-08-24,2024-08-30,342,1029.09,19.0,285078.51,Asia Pacific,Government Tender,High
ORD00109,CUST180,PROD114,FACT02,2022-12-30,2023-01-03,174,397.11,5.4,65365.89,Asia Pacific,Direct,Medium
ORD00110,CUST410,PROD050,FACT04,2022-03-10,2022-03-19,126,538.44,3.4,65536.76,South Asia,Government Tender,Low
ORD00111,CUST232,PROD120,FACT08,2022-11-04,2022-11-10,385,655.6,19.0,204448.86,North America,Online B2B,Low
ORD00112,CUST492,PROD061,FACT04,2023-02-27,2023-03-07,315,496.41,5.9,147143.37,Asia Pacific,Direct,Medium
ORD00113,CUST487,PROD091,FACT12,2023-05-29,2023-06-04,316,479.01,10.2,135927.71,Asia Pacific,Online B2B,Medium
ORD00114,CUST188,PROD077,FACT03,2022-08-07,2022-08-16,49,282.02,10.3,12395.63,South Asia,Direct,Low
ORD00115,CUST018,PROD083,FACT10,2024-12-04,2024-12-06,336,397.9,4.1,128212.93,South Asia,Distributor,Medium
ORD00116,CUST225,PROD015,FACT06,2023-01-02,2023-01-06,236,90.12,7.7,19630.66,Asia Pacific,Distributor,Medium
ORD00117,CUST105,PROD107,FACT03,2022-05-02,2022-05-06,349,168.0,15.3,49661.3,Asia Pacific,Distributor,High
ORD00118,CUST487,PROD076,FACT12,2023-05-10,2023-05-21,317,889.17,10.4,252552.73,Asia Pacific,Distributor,Low
ORD00119,CUST206,PROD014,FACT12,2023-07-31,2023-08-11,256,348.28,3.3,86217.41,Europe,Distributor,Medium
ORD00120,CUST186,PROD082,FACT02,2024-06-02,2024-06-06,116,435.22,11.4,44730.17,Europe,Distributor,Low
ORD00121,CUST065,PROD016,FACT09,2024-06-13,2024-06-20,279,314.75,14.2,75345.48,Middle East,Distributor,Low
ORD00122,CUST333,PROD047,FACT03,2023-08-02,2023-08-12,389,141.13,14.7,46829.33,North America,Government Tender,Medium
ORD00123,CUST372,PROD113,FACT01,2022-12-16,2022-12-30,85,343.1,10.2,26188.82,Asia Pacific,Online B2B,Medium
ORD00124,CUST207,PROD105,FACT12,2022-04-25,2022-05-08,120,191.96,19.9,18451.2,Asia Pacific,Distributor,Medium
ORD00125,CUST229,PROD087,FACT12,2023-09-20,2023-09-27,384,565.26,13.5,187756.76,Asia Pacific,Distributor,High
ORD00126,CUST069,PROD120,FACT09,2022-08-25,2022-08-31,50,622.67,18.5,25373.8,North America,Direct,Medium
ORD00127,CUST142,PROD053,FACT05,2022-02-16,2022-03-01,164,499.23,2.3,79990.62,Asia Pacific,Direct,Low
ORD00128,CUST206,PROD026,FACT07,2022-10-01,2022-10-03,148,351.34,14.8,44302.57,Europe,Distributor,Low
ORD00129,CUST174,PROD076,FACT02,2022-04-23,2022-04-26,43,922.61,14.6,33880.08,Middle East,Distributor,Medium
ORD00130,CUST197,PROD019,FACT01,2023-06-29,2023-07-11,136,223.45,19.8,24372.14,Middle East,Distributor,Medium
ORD00131,CUST331,PROD042,FACT06,2023-02-03,2023-02-05,246,441.41,10.6,97076.65,Middle East,Government Tender,High
ORD00132,CUST416,PROD030,FACT05,2024-03-02,2024-03-15,218,88.67,16.4,16159.93,Asia Pacific,Distributor,Medium
ORD00133,CUST307,PROD036,FACT10,2022-11-12,2022-11-19,425,977.25,24.4,313990.42,Asia Pacific,Distributor,Low
ORD00134,CUST197,PROD026,FACT06,2022-02-20,2022-02-24,281,344.12,16.4,80839.29,Middle East,Online B2B,Medium
ORD00135,CUST228,PROD081,FACT02,2022-05-24,2022-06-06,372,273.71,13.6,87972.58,Asia Pacific,Distributor,Medium
ORD00136,CUST271,PROD097,FACT07,2023-06-12,2023-06-26,234,383.54,1.7,88222.64,Europe,Distributor,Low
ORD00137,CUST437,PROD005,FACT01,2023-01-25,2023-01-31,263,360.06,3.1,91760.21,Europe,Government Tender,Medium
ORD00138,CUST199,PROD036,FACT11,2024-03-29,2024-04-05,115,976.75,18.6,91433.57,Asia Pacific,Distributor,Medium
ORD00139,CUST325,PROD012,FACT08,2024-01-19,2024-01-25,342,223.43,13.7,65944.47,Europe,Online B2B,Medium
ORD00140,CUST478,PROD040,FACT07,2023-02-16,2023-02-20,189,576.81,19.8,87431.71,Europe,Government Tender,Medium
ORD00141,CUST015,PROD088,FACT07,2023-01-19,2023-01-22,417,481.93,5.7,189509.82,Asia Pacific,Distributor,Low
ORD00142,CUST286,PROD114,FACT06,2024-05-24,2024-05-27,197,417.53,13.3,71313.71,Asia Pacific,Direct,Medium
ORD00143,CUST334,PROD084,FACT10,2024-06-15,2024-06-28,38,513.4,18.4,15919.51,Asia Pacific,Online B2B,Low
ORD00144,CUST408,PROD034,FACT05,2023-12-09,2023-12-12,12,521.82,19.3,5053.3,Asia Pacific,Online B2B,Low
ORD00145,CUST216,PROD005,FACT09,2022-08-02,2022-08-13,124,363.4,8.3,41321.49,Asia Pacific,Direct,Low
ORD00146,CUST035,PROD096,FACT03,2023-07-24,2023-07-29,44,390.68,23.3,13184.67,Middle East,Distributor,High
ORD00147,CUST069,PROD010,FACT09,2022-08-07,2022-08-12,309,614.62,11.0,169026.65,North America,Distributor,High
ORD00148,CUST396,PROD029,FACT05,2022-08-07,2022-08-20,14,353.38,11.0,4403.11,South Asia,Online B2B,Medium
ORD00149,CUST212,PROD040,FACT08,2022-01-13,2022-01-17,455,581.76,20.5,210437.14,Europe,Direct,Low
ORD00150,CUST046,PROD011,FACT11,2023-02-27,2023-03-08,348,1094.3,21.5,298940.87,Asia Pacific,Distributor,Low
ORD00151,CUST382,PROD048,FACT03,2023-05-01,2023-05-06,52,527.04,6.5,25624.68,North America,Distributor,High
ORD00152,CUST453,PROD026,FACT07,2024-08-25,2024-09-03,245,333.39,15.3,69183.43,Asia Pacific,Distributor,Medium
ORD00153,CUST248,PROD041,FACT10,2024-02-25,2024-03-08,180,1026.65,4.2,177035.53,Middle East,Government Tender,Low
ORD00154,CUST420,PROD046,FACT04,2022-04-29,2022-05-03,302,1388.88,13.5,362817.12,Middle East,Government Tender,High
ORD00155,CUST085,PROD120,FACT05,2022-09-28,2022-10-10,464,645.56,13.7,258502.88,Europe,Direct,Low
ORD00156,CUST048,PROD107,FACT04,2024-06-30,2024-07-13,425,162.83,14.4,59237.55,Asia Pacific,Direct,Medium
ORD00157,CUST231,PROD028,FACT09,2024-04-21,2024-04-24,130,161.31,19.7,16839.15,Asia Pacific,Direct,Low
ORD00158,CUST067,PROD005,FACT12,2024-12-06,2024-12-15,433,358.14,21.8,121268.35,Europe,Distributor,Medium
ORD00159,CUST477,PROD001,FACT07,2023-10-26,2023-11-02,479,330.06,10.3,141814.57,Europe,Distributor,Medium
ORD00160,CUST438,PROD022,FACT06,2024-10-20,2024-10-23,100,103.57,0.5,10305.22,North America,Distributor,Medium
ORD00161,CUST089,PROD105,FACT06,2022-06-22,2022-06-30,462,195.46,15.0,76757.14,North America,Direct,Low
ORD00162,CUST219,PROD050,FACT11,2024-02-26,2024-03-10,366,541.85,10.4,177692.12,Middle East,Direct,Medium
ORD00163,CUST420,PROD100,FACT10,2022-12-13,2022-12-24,284,611.42,13.9,149506.86,Middle East,Direct,Medium
ORD00164,CUST052,PROD105,FACT07,2022-08-25,2022-09-02,111,194.67,10.0,19447.53,North America,Distributor,Medium
ORD00165,CUST022,PROD105,FACT05,2024-07-25,2024-07-30,288,206.46,4.3,56903.68,Middle East,Distributor,Low
ORD00166,CUST422,PROD080,FACT10,2023-06-27,2023-07-06,92,355.25,1.4,32225.44,South Asia,Direct,High
ORD00167,CUST099,PROD109,FACT03,2023-02-11,2023-02-15,76,169.85,3.3,12482.62,Asia Pacific,Direct,Medium
ORD00168,CUST446,PROD057,FACT11,2022-03-19,2022-04-02,205,378.5,15.0,65953.62,South Asia,Online B2B,High
ORD00169,CUST449,PROD107,FACT11,2022-01-12,2022-01-22,22,173.26,11.9,3358.13,Europe,Online B2B,Medium
ORD00170,CUST131,PROD075,FACT03,2022-08-17,2022-08-30,170,701.36,20.6,94669.57,Europe,Direct,Medium
ORD00171,CUST088,PROD023,FACT07,2024-04-22,2024-05-04,368,306.5,13.8,97226.7,Europe,Distributor,High
ORD00172,CUST136,PROD091,FACT11,2024-08-22,2024-08-28,157,451.52,19.9,56781.8,Asia Pacific,Direct,Low
ORD00173,CUST496,PROD083,FACT10,2023-11-03,2023-11-07,222,419.93,19.0,75511.81,Middle East,Direct,Medium
ORD00174,CUST374,PROD087,FACT01,2024-04-18,2024-04-28,463,519.32,23.5,183940.55,Asia Pacific,Online B2B,Medium
ORD00175,CUST039,PROD109,FACT04,2022-06-13,2022-06-16,360,178.1,1.3,63282.49,Middle East,Distributor,Medium
ORD00176,CUST018,PROD027,FACT10,2023-01-17,2023-01-20,68,288.35,3.2,18980.35,South Asia,Distributor,Medium
ORD00177,CUST105,PROD078,FACT08,2024-01-01,2024-01-05,161,169.81,23.0,21051.35,Asia Pacific,Government Tender,High
ORD00178,CUST387,PROD028,FACT04,2023-08-05,2023-08-15,174,154.17,22.3,20843.48,South Asia,Online B2B,Low
ORD00179,CUST146,PROD114,FACT01,2024-02-11,2024-02-23,393,427.29,12.9,146262.65,Europe,Distributor,Medium
ORD00180,CUST336,PROD093,FACT05,2024-07-30,2024-08-10,499,503.95,11.6,222300.41,Europe,Distributor,Medium
ORD00181,CUST224,PROD029,FACT01,2024-12-22,2024-12-26,38,348.85,12.8,11559.49,Asia Pacific,Direct,High
ORD00182,CUST117,PROD057,FACT09,2024-09-21,2024-09-27,336,368.31,2.7,120410.85,Europe,Online B2B,Medium
ORD00183,CUST001,PROD074,FACT08,2022-09-03,2022-09-13,26,460.18,13.1,10397.31,Europe,Direct,Low
ORD00184,CUST117,PROD098,FACT07,2024-09-24,2024-10-05,254,276.51,14.4,60119.91,Europe,Direct,Medium
ORD00185,CUST384,PROD050,FACT05,2022-02-19,2022-02-26,299,552.55,3.3,159760.44,North America,Direct,High
ORD00186,CUST026,PROD067,FACT04,2023-10-31,2023-11-07,437,269.55,12.6,102951.39,Europe,Direct,High
ORD00187,CUST436,PROD042,FACT07,2022-08-08,2022-08-20,283,451.65,6.4,119636.67,Middle East,Distributor,Low
ORD00188,CUST496,PROD038,FACT03,2024-06-25,2024-06-27,247,63.77,21.8,12317.43,Middle East,Online B2B,High
ORD00189,CUST012,PROD051,FACT08,2022-12-30,2023-01-11,11,471.54,6.1,4870.54,North America,Government Tender,Low
ORD00190,CUST294,PROD082,FACT05,2024-09-18,2024-09-21,238,439.26,11.1,92939.51,North America,Online B2B,High
ORD00191,CUST341,PROD004,FACT05,2024-07-08,2024-07-18,107,406.63,10.7,38853.9,Asia Pacific,Direct,Medium
ORD00192,CUST169,PROD008,FACT01,2023-07-17,2023-07-26,410,575.59,2.3,230564.09,Asia Pacific,Direct,Medium
ORD00193,CUST053,PROD015,FACT10,2022-02-11,2022-02-14,334,83.46,23.9,21213.36,Asia Pacific,Direct,High
ORD00194,CUST269,PROD051,FACT11,2023-02-27,2023-03-05,313,508.51,6.3,149136.32,Europe,Direct,Medium
ORD00195,CUST248,PROD090,FACT08,2022-05-15,2022-05-21,1,439.32,1.2,434.05,Middle East,Distributor,Medium
ORD00196,CUST128,PROD102,FACT07,2024-02-25,2024-03-03,11,99.74,13.4,950.12,North America,Government Tender,Medium
ORD00197,CUST076,PROD036,FACT01,2024-01-18,2024-01-23,158,959.24,12.9,132008.69,Europe,Distributor,Medium
ORD00198,CUST269,PROD090,FACT12,2022-03-14,2022-03-24,88,416.36,4.8,34880.98,Europe,Online B2B,Low
ORD00199,CUST146,PROD073,FACT12,2023-09-27,2023-10-03,242,542.83,22.8,101413.67,Europe,Distributor,Low
ORD00200,CUST403,PROD074,FACT04,2023-02-05,2023-02-10,497,453.2,12.6,196860.11,Europe,Distributor,High
ORD00201,CUST403,PROD064,FACT04,2024-09-19,2024-09-29,132,726.85,17.0,79633.69,Europe,Government Tender,Medium
ORD00202,CUST499,PROD043,FACT12,2023-04-15,2023-04-18,86,159.24,13.2,11886.95,Asia Pacific,Online B2B,High
ORD00203,CUST454,PROD071,FACT09,2023-08-02,2023-08-14,110,1170.48,0.7,127851.53,Europe,Distributor,High
ORD00204,CUST048,PROD089,FACT10,2023-04-01,2023-04-13,328,340.67,14.6,95425.76,Asia Pacific,Direct,Medium
ORD00205,CUST199,PROD095,FACT02,2024-07-02,2024-07-05,111,228.23,23.6,19354.82,Asia Pacific,Direct,Medium
ORD00206,CUST071,PROD105,FACT04,2022-05-09,2022-05-23,208,203.91,18.9,34397.17,Europe,Online B2B,Medium
ORD00207,CUST412,PROD026,FACT10,2023-01-14,2023-01-18,289,363.27,20.7,83253.13,Asia Pacific,Direct,Medium
ORD00208,CUST092,PROD055,FACT03,2023-01-24,2023-02-04,417,563.34,22.6,181822.49,Middle East,Distributor,Medium
ORD00209,CUST403,PROD036,FACT10,2024-02-25,2024-03-01,74,968.82,17.9,58859.69,Europe,Distributor,Medium
ORD00210,CUST464,PROD087,FACT05,2023-04-09,2023-04-22,322,530.11,22.7,131947.56,Asia Pacific,Online B2B,Medium
ORD00211,CUST209,PROD085,FACT12,2024-09-15,2024-09-26,249,501.36,19.6,100370.27,Middle East,Direct,High
ORD00212,CUST342,PROD009,FACT07,2023-07-01,2023-07-11,108,284.7,10.3,27580.6,North America,Direct,Low
ORD00213,CUST339,PROD051,FACT05,2023-02-13,2023-02-27,4,494.79,2.3,1933.64,North America,Online B2B,Medium
ORD00214,CUST048,PROD073,FACT05,2023-09-10,2023-09-16,215,534.99,24.1,87302.34,Asia Pacific,Distributor,Medium
ORD00215,CUST029,PROD001,FACT04,2024-01-31,2024-02-03,179,343.12,21.9,47967.83,South Asia,Direct,Low
ORD00216,CUST176,PROD090,FACT09,2023-10-15,2023-10-19,155,444.18,3.8,66231.68,Asia Pacific,Government Tender,Medium
ORD00217,CUST019,PROD076,FACT06,2024-09-28,2024-10-07,289,868.57,8.7,229178.27,Europe,Online B2B,High
