po_id,supplier_id,factory_id,product_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,unit_cost,total_cost,status,delay_days
PO00094,SUPP053,FACT05,PROD003,2024-12-06,2025-01-24,2025-01-24,2497,356.32,889731.04,Delivered,0.0
PO00095,SUPP039,FACT09,PROD062,2024-09-04,2024-10-17,,3179,171.92,546533.68,Pending,
PO00096,SUPP078,FACT10,PROD012,2022-12-08,2022-12-19,2022-12-19,1948,154.09,300167.32,Delivered,0.0
PO00097,SUPP056,FACT12,PROD091,2023-06-06,2023-07-04,,4553,350.43,1595507.79,Pending,
PO00098,SUPP028,FACT04,PROD117,2024-03-11,2024-04-07,,3634,228.6,830732.4,Pending,
PO00099,SUPP075,FACT05,PROD030,2024-06-21,2024-08-25,2024-10-03,4209,56.31,237008.79,Delivered,39.0
PO00100,SUPP039,FACT04,PROD085,2022-05-11,2022-06-23,2022-07-28,3999,374.84,1498985.16,Delayed,35.0
PO00101,SUPP025,FACT02,PROD038,2024-03-24,2024-04-11,2024-04-16,2517,42.65,107350.05,Delayed,5.0
PO00102,SUPP021,FACT12,PROD085,2022-03-02,2022-03-11,2022-03-11,2243,381.46,855614.78,Delivered,0.0
PO00103,SUPP010,FACT01,PROD060,2022-06-13,2022-06-30,2022-07-09,66,138.21,9121.86,Delivered,9.0
PO00104,SUPP043,FACT08,PROD038,2022-09-29,2022-11-13,2022-11-13,3072,47.94,147271.68,Delivered,0.0
PO00105,SUPP015,FACT04,PROD104,2022-05-13,2022-07-01,,1316,84.26,110886.16,Pending,
PO00106,SUPP048,FACT05,PROD015,2024-09-24,2024-10-06,2024-10-06,528,59.15,31231.2,Delivered,0.0
PO00107,SUPP021,FACT06,PROD018,2022-02-07,2022-02-16,2022-02-16,4346,348.77,1515754.42,Delivered,0.0
PO00108,SUPP060,FACT08,PROD052,2023-09-09,2023-09-22,2023-09-22,4027,168.24,677502.48,Delivered,0.0
PO00109,SUPP050,FACT11,PROD029,2023-04-19,2023-06-01,2023-06-01,3594,253.48,911007.12,Delivered,0.0
PO00110,SUPP023,FACT08,PROD112,2022-02-28,2022-03-25,2022-03-25,4324,74.05,320192.2,Delivered,0.0
PO00111,SUPP013,FACT07,PROD102,2023-08-12,2023-09-12,2023-09-12,4598,69.56,319836.88,Delivered,0.0
PO00112,SUPP069,FACT04,PROD060,2023-05-14,2023-06-17,,535,139.73,74755.55,Pending,
PO00113,SUPP004,FACT06,PROD021,2023-07-21,2023-09-15,2023-09-15,4138,132.08,546547.04,Delivered,0.0
PO00114,SUPP078,FACT04,PROD017,2023-07-21,2023-08-01,2023-08-01,4723,244.55,1155009.65,Delivered,0.0
PO00115,SUPP072,FACT07,PROD105,2024-06-22,2024-07-21,2024-07-21,387,144.36,55867.32,Delivered,0.0
PO00116,SUPP009,FACT12,PROD115,2023-01-18,2023-03-23,2023-03-23,910,358.36,326107.6,Delivered,0.0
PO00117,SUPP035,FACT12,PROD018,2022-03-26,2022-04-19,2022-04-19,2053,379.77,779667.81,Delivered,0.0
PO00118,SUPP021,FACT11,PROD057,2023-09-19,2023-09-28,2023-09-28,1521,280.09,426016.89,Delivered,0.0
PO00119,SUPP058,FACT01,PROD119,2024-04-05,2024-05-19,2024-05-19,2092,127.11,265914.12,Delivered,0.0
PO00120,SUPP018,FACT05,PROD037,2022-10-20,2022-11-10,2022-11-10,3478,158.35,550741.3,Delivered,0.0
PO00121,SUPP072,FACT10,PROD060,2024-12-08,2025-01-06,2025-01-16,3170,137.69,436477.3,Delivered,10.0
PO00122,SUPP043,FACT12,PROD038,2024-12-26,2025-02-09,2025-02-09,1569,41.49,65097.81,Delivered,0.0
PO00123,SUPP006,FACT10,PROD012,2024-02-26,2024-03-15,,751,164.12,123254.12,Cancelled,
PO00124,SUPP078,FACT04,PROD075,2022-05-09,2022-05-20,2022-05-20,4438,471.25,2091407.5,Delivered,0.0
PO00125,SUPP067,FACT11,PROD112,2022-01-29,2022-03-06,2022-04-30,4085,67.82,277044.7,Delayed,55.0
PO00126,SUPP012,FACT07,PROD116,2023-11-23,2023-12-30,2024-01-24,3794,569.1,2159165.4,Delayed,25.0
PO00127,SUPP012,FACT09,PROD113,2022-05-13,2022-06-19,2022-06-19,1223,258.41,316035.43,Delivered,0.0
PO00128,SUPP066,FACT05,PROD084,2023-10-08,2023-11-05,,1655,372.83,617033.65,Pending,
PO00129,SUPP002,FACT04,PROD073,2023-11-20,2023-12-29,2024-01-30,1929,369.31,712398.99,Delivered,32.0
PO00130,SUPP015,FACT09,PROD001,2023-06-18,2023-08-06,2023-08-06,3443,226.63,780287.09,Delivered,0.0
PO00131,SUPP023,FACT05,PROD058,2023-05-31,2023-06-25,2023-06-25,2174,393.15,854708.1,Delivered,0.0
PO00132,SUPP029,FACT09,PROD003,2024-08-17,2024-10-15,2024-11-05,4692,337.81,1585004.52,Delayed,21.0
PO00133,SUPP007,FACT08,PROD063,2022-06-14,2022-07-16,2022-09-05,1496,255.81,382691.76,Delivered,51.0
PO00134,SUPP028,FACT04,PROD021,2024-07-15,2024-08-11,,3356,129.56,434803.36,Pending,
PO00135,SUPP014,FACT11,PROD023,2024-07-21,2024-07-28,2024-07-28,3451,208.16,718360.16,Delivered,0.0
PO00136,SUPP044,FACT11,PROD009,2023-07-11,2023-08-28,2023-09-20,3833,187.87,720105.71,Delayed,23.0
PO00137,SUPP030,FACT07,PROD118,2023-11-11,2023-11-18,2023-11-18,2422,141.07,341671.54,Delivered,0.0
PO00138,SUPP032,FACT05,PROD083,2024-09-19,2024-10-10,2024-10-10,200,265.58,53116.0,Delivered,0.0
PO00139,SUPP070,FACT10,PROD109,2024-10-25,2024-11-06,2024-11-06,1709,114.69,196005.21,Delivered,0.0
PO00140,SUPP006,FACT04,PROD055,2024-01-27,2024-02-14,2024-02-14,928,447.44,415224.32,Delivered,0.0
PO00141,SUPP027,FACT05,PROD110,2024-05-04,2024-05-19,2024-05-19,2369,82.68,195868.92,Delivered,0.0
PO00142,SUPP024,FACT05,PROD116,2023-05-08,2023-05-27,2023-06-20,2933,583.55,1711552.15,Delayed,24.0
PO00143,SUPP034,FACT11,PROD019,2023-10-11,2023-11-08,2023-11-08,4045,160.96,651083.2,Delivered,0.0
PO00144,SUPP040,FACT09,PROD062,2024-09-18,2024-10-12,2024-11-27,2465,171.21,422032.65,Delayed,46.0
PO00145,SUPP047,FACT12,PROD087,2023-09-20,2023-10-22,2023-10-22,1565,344.39,538970.35,Delivered,0.0
PO00146,SUPP079,FACT09,PROD091,2023-09-17,2023-11-14,2023-12-13,3437,335.29,1152391.73,Delayed,29.0
PO00147,SUPP075,FACT06,PROD091,2023-06-27,2023-08-31,2023-08-31,639,349.55,223362.45,Delivered,0.0
PO00148,SUPP024,FACT04,PROD039,2022-01-07,2022-01-26,2022-01-26,637,414.72,264176.64,Delivered,0.0
PO00149,SUPP065,FACT02,PROD100,2024-08-11,2024-10-27,2024-12-15,2669,428.14,1142705.66,Delayed,49.0
PO00150,SUPP018,FACT03,PROD076,2023-05-30,2023-06-20,2023-06-20,1245,603.0,750735.0,Delivered,0.0
PO00151,SUPP044,FACT02,PROD119,2024-01-25,2024-03-13,2024-03-13,4403,135.57,596914.71,Delivered,0.0
PO00152,SUPP076,FACT05,PROD027,2022-03-14,2022-04-09,2022-04-09,2376,178.25,423522.0,Delivered,0.0
PO00153,SUPP057,FACT06,PROD046,2022-01-10,2022-02-21,2022-02-21,2655,873.55,2319275.25,Delivered,0.0
PO00154,SUPP028,FACT11,PROD034,2023-07-16,2023-08-12,2023-08-12,2588,450.28,1165324.64,Delivered,0.0
PO00155,SUPP071,FACT05,PROD033,2022-05-02,2022-05-20,,615,196.26,120699.9,Pending,
PO00156,SUPP023,FACT02,PROD092,2023-11-18,2023-12-13,2024-01-09,1806,264.47,477632.82,Delivered,27.0
PO00157,SUPP034,FACT12,PROD095,2023-05-28,2023-06-25,2023-06-25,4125,168.05,693206.25,Delivered,0.0
PO00158,SUPP011,FACT05,PROD096,2024-09-16,2024-11-04,2024-11-04,1410,284.66,401370.6,Delivered,0.0
PO00159,SUPP035,FACT09,PROD050,2023-03-17,2023-04-10,2023-04-10,2618,323.23,846216.14,Delivered,0.0
PO00160,SUPP042,FACT04,PROD020,2024-11-27,2024-12-19,2024-12-19,2423,259.5,628768.5,Delivered,0.0
PO00161,SUPP028,FACT12,PROD040,2023-12-03,2023-12-30,2024-02-07,1245,394.92,491675.4,Delayed,39.0
PO00162,SUPP078,FACT10,PROD099,2023-08-14,2023-08-25,,2181,344.96,752357.76,Pending,
PO00163,SUPP024,FACT02,PROD095,2022-03-08,2022-03-27,2022-03-27,2938,152.01,446605.38,Delivered,0.0
PO00164,SUPP008,FACT03,PROD058,2022-01-17,2022-02-17,2022-03-11,1617,381.36,616659.12,Delayed,22.0
PO00165,SUPP053,FACT03,PROD031,2023-01-03,2023-02-21,2023-02-21,3460,785.45,2717657.0,Delivered,0.0
PO00166,SUPP072,FACT09,PROD038,2024-06-22,2024-07-21,,2417,44.47,107483.99,Pending,
PO00167,SUPP004,FACT04,PROD086,2023-12-22,2024-02-16,2024-02-16,3393,657.92,2232322.56,Delivered,0.0
PO00168,SUPP005,FACT01,PROD045,2024-08-15,2024-09-17,2024-09-17,3147,349.79,1100789.13,Delivered,0.0
PO00169,SUPP049,FACT01,PROD041,2024-06-26,2024-07-19,2024-07-19,1310,834.8,1093588.0,Delivered,0.0
PO00170,SUPP030,FACT07,PROD009,2024-09-15,2024-09-22,2024-09-22,1383,200.09,276724.47,Delivered,0.0
PO00171,SUPP072,FACT07,PROD116,2023-04-18,2023-05-17,2023-05-17,4378,572.17,2504960.26,Delivered,0.0
PO00172,SUPP063,FACT02,PROD009,2022-04-25,2022-05-13,2022-05-13,4694,202.7,951473.8,Delivered,0.0
PO00173,SUPP047,FACT09,PROD063,2022-04-10,2022-05-12,2022-05-12,3386,249.46,844671.56,Delivered,0.0
PO00174,SUPP026,FACT09,PROD079,2023-03-14,2023-04-17,2023-04-17,3134,172.05,539204.7,Delivered,0.0
PO00175,SUPP057,FACT05,PROD077,2022-12-15,2023-01-26,2023-01-26,3437,218.32,750365.84,Delivered,0.0
PO00176,SUPP037,FACT03,PROD022,2022-05-19,2022-06-12,2022-06-12,4763,71.32,339697.16,Delivered,0.0
PO00177,SUPP007,FACT03,PROD016,2024-04-07,2024-05-09,2024-05-09,2481,240.18,595886.58,Delivered,0.0
PO00178,SUPP040,FACT12,PROD032,2022-11-20,2022-12-14,2022-12-14,1066,175.04,186592.64,Delivered,0.0
PO00179,SUPP039,FACT03,PROD066,2024-04-25,2024-06-07,2024-06-07,691,920.71,636210.61,Delivered,0.0
PO00180,SUPP062,FACT06,PROD090,2022-10-21,2022-12-19,2022-12-31,4112,262.06,1077590.72,Delayed,12.0
PO00181,SUPP078,FACT04,PROD014,2024-08-25,2024-09-05,2024-09-24,365,256.75,93713.75,Delayed,19.0
PO00182,SUPP053,FACT08,PROD038,2022-03-15,2022-05-03,2022-05-03,2353,40.94,96331.82,Delivered,0.0
PO00183,SUPP004,FACT11,PROD098,2023-04-29,2023-06-24,2023-06-24,490,197.83,96936.7,Delivered,0.0
PO00184,SUPP025,FACT11,PROD008,2022-01-16,2022-02-03,2022-02-03,1188,351.92,418080.96,Delivered,0.0
PO00185,SUPP007,FACT11,PROD100,2024-03-03,2024-04-04,2024-05-28,964,466.76,449956.64,Delayed,54.0
PO00186,SUPP028,FACT05,PROD021,2023-05-31,2023-06-27,2023-06-27,2353,132.03,310666.59,Delivered,0.0
PO00187,SUPP069,FACT01,PROD056,2024-07-13,2024-08-16,2024-08-16,4192,162.52,681283.84,Delivered,0.0
PO00188,SUPP067,FACT09,PROD046,2024-04-03,2024-05-09,2024-05-09,3471,858.9,2981241.9,Delivered,0.0
PO00189,SUPP020,FACT01,PROD043,2023-06-02,2023-07-10,2023-07-10,2128,107.04,227781.12,Delivered,0.0
PO00190,SUPP011,FACT06,PROD120,2022-05-09,2022-06-27,2022-06-27,4200,519.21,2180682.0,Delivered,0.0
PO00191,SUPP067,FACT01,PROD092,2023-05-26,2023-07-01,2023-07-01,2250,274.46,617535.0,Delivered,0.0
PO00192,SUPP007,FACT03,PROD046,2023-02-27,2023-03-31,2023-05-10,4601,922.39,4243916.39,Delivered,40.0
PO00193,SUPP023,FACT10,PROD108,2023-01-20,2023-02-14,2023-02-14,85,156.52,13304.2,Delivered,0.0
PO00194,SUPP061,FACT05,PROD048,2022-08-20,2022-09-23,2022-09-23,867,382.67,331774.89,Delivered,0.0
PO00195,SUPP071,FACT10,PROD070,2024-08-16,2024-09-03,2024-09-03,1996,116.66,232853.36,Delivered,0.0
PO00196,SUPP034,FACT07,PROD084,2024-04-04,2024-05-02,2024-05-02,4006,371.0,1486226.0,Delivered,0.0
PO00197,SUPP019,FACT10,PROD031,2022-03-06,2022-04-17,2022-05-16,4401,742.48,3267654.48,Delayed,29.0
PO00198,SUPP058,FACT08,PROD033,2024-04-12,2024-05-26,2024-05-26,2275,205.76,468104.0,Delivered,0.0
PO00199,SUPP009,FACT12,PROD044,2023-09-07,2023-11-10,2023-11-14,3375,61.65,208068.75,Delivered,4.0
PO00200,SUPP048,FACT09,PROD071,2024-03-11,2024-03-23,2024-03-23,557,714.41,397926.37,Delivered,0.0
PO00201,SUPP041,FACT06,PROD008,2022-10-05,2022-12-02,2022-12-02,3795,360.47,1367983.65,Delivered,0.0
PO00202,SUPP048,FACT11,PROD073,2023-01-01,2023-01-13,2023-01-13,4166,359.54,1497843.64,Delivered,0.0
PO00203,SUPP045,FACT09,PROD002,2023-05-31,2023-06-21,2023-06-21,3927,323.54,1270541.58,Delivered,0.0
PO00204,SUPP025,FACT08,PROD017,2023-03-15,2023-04-02,2023-04-02,4864,209.69,1019932.16,Delivered,0.0
PO00205,SUPP078,FACT09,PROD052,2023-03-04,2023-03-15,2023-03-15,509,169.66,86356.94,Delivered,0.0
PO00206,SUPP025,FACT10,PROD045,2023-12-30,2024-01-17,2024-01-17,1455,361.32,525720.6,Delivered,0.0
PO00207,SUPP019,FACT04,PROD037,2023-01-31,2023-03-14,2023-03-14,4145,140.53,582496.85,Delivered,0.0
PO00208,SUPP039,FACT09,PROD042,2023-08-09,2023-09-21,2023-09-21,2086,291.28,607610.08,Delivered,0.0
PO00209,SUPP079,FACT07,PROD044,2023-01-10,2023-03-09,2023-03-09,2727,66.55,181481.85,Delivered,0.0
PO00210,SUPP080,FACT05,PROD081,2024-08-05,2024-10-28,2024-10-28,1794,171.71,308047.74,Delivered,0.0
PO00211,SUPP027,FACT05,PROD117,2022-04-03,2022-04-18,2022-04-18,3033,238.58,723613.14,Delivered,0.0
PO00212,SUPP074,FACT01,PROD038,2022-11-17,2022-11-30,2022-11-30,2408,46.74,112549.92,Delivered,0.0
PO00213,SUPP063,FACT02,PROD099,2024-10-30,2024-11-17,2024-12-21,1281,390.85,500678.85,Delivered,34.0
PO00214,SUPP068,FACT10,PROD111,2024-07-02,2024-07-31,2024-07-31,1227,628.29,770911.83,Delivered,0.0
PO00215,SUPP019,FACT03,PROD103,2024-07-05,2024-08-16,2024-09-28,811,146.48,118795.28,Delayed,43.0
PO00216,SUPP028,FACT08,PROD094,2022-04-05,2022-05-02,2022-06-08,4828,161.81,781218.68,Delayed,37.0
PO00217,SUPP078,FACT06,PROD006,2024-08-16,2024-08-27,2024-08-27,2404,482.14,1159064.56,Delivered,0.0
PO00218,SUPP033,FACT12,PROD068,2022-03-12,2022-03-25,2022-03-25,4764,58.21,277312.44,Delivered,0.0
PO00219,SUPP010,FACT10,PROD051,2023-10-26,2023-11-12,2023-11-12,3776,395.78,1494465.28,Delivered,0.0
PO00220,SUPP030,FACT11,PROD101,2024-08-26,2024-09-02,2024-09-02,1593,292.38,465761.34,Delivered,0.0
PO00221,SUPP022,FACT05,PROD035,2023-08-10,2023-09-07,,3727,513.38,1913367.26,Pending,
PO00222,SUPP003,FACT01,PROD058,2023-12-28,2024-01-29,,1983,371.55,736783.65,Pending,
PO00223,SUPP075,FACT12,PROD057,2023-01-03,2023-03-09,2023-04-09,3218,268.96,865513.28,Delayed,31.0
PO00224,SUPP048,FACT11,PROD073,2022-02-20,2022-03-04,2022-03-04,3611,328.94,1187802.34,Delivered,0.0
