supplier_id,supplier_name,country,city,category,lead_time_days,reliability_score,payment_terms,contract_start,preferred_status
SUPP059,Hokuto Resources,India,Pune,Logistics Services,18,0.9,Net 30,2023-11-20,No
SUPP060,Hokuto Manufacturing,China,Unknown,Raw Materials,13,0.9,Net 45,2019-08-28,No
SUPP061,Continental Materials,Japan,Tokyo,Raw Materials,34,0.65,Net 30,2020-12-02,No
SUPP062,Continental Manufacturing,Germany,Frankfurt,Logistics Services,59,0.92,Net 45,2021-03-17,Yes
SUPP063,Ganges Supply Co.,China,Unknown,Electronic Components,18,0.94,Net 45,2015-01-31,No
SUPP064,Daehan Manufacturing,Japan,Yokohama,Raw Materials,16,0.6,Net 45,2018-09-28,Yes
SUPP065,Formosa Logistics,Germany,Hamburg,Electronic Components,77,0.88,Net 45,2018-11-01,Yes
SUPP066,Daehan Manufacturing,South Korea,Seoul,Electronic Components,28,0.89,Net 60,2018-02-27,No
SUPP067,Continental Logistics,South Korea,Incheon,Packaging,36,0.97,Net 30,2016-09-08,No
SUPP068,Ganges Materials,China,Unknown,Packaging,29,0.92,Net 30,2016-06-22,No
SUPP069,Hokuto Logistics,Japan,Yokohama,Logistics Services,34,0.97,Net 30,2022-08-18,No
SUPP070,Silverline Chemicals,Taiwan,Hsinchu,Electronic Components,12,0.79,Net 60,2023-06-01,No
SUPP071,Crestpoint Components,South Korea,Seoul,Electronic Components,18,0.93,Net 30,2017-05-20,No
SUPP072,Crestpoint Packaging,South Korea,Incheon,Electronic Components,29,0.94,Net 45,2015-04-11,No
SUPP073,Daehan Packaging,China,Unknown,Electronic Components,7,0.94,Net 45,2023-07-27,No
SUPP074,Daehan Chemicals,China,Unknown,Raw Materials,13,0.87,Net 30,2018-11-13,No
SUPP075,Silverline Manufacturing,Germany,Hamburg,Logistics Services,65,0.91,Net 30,2022-07-02,No
SUPP076,United Logistics,Japan,Nagoya,Chemicals,26,0.95,Net 30,2017-07-29,No
SUPP077,Daehan Components,South Korea,Incheon,Electronic Components,56,0.91,Net 30,2015-12-07,Yes
SUPP078,Hokuto Logistics,China,Unknown,Packaging,11,0.84,Net 30,2022-12-18,No
SUPP079,Rhein Resources,India,Pune,Raw Materials,58,0.66,Net 30,2017-11-09,Yes
SUPP080,Silverline Manufacturing,Germany,Munich,Electronic Components,84,0.94,Net 60,2015-02-07,No
